Frage;Antwort 1;Antwort 2;Antwort 3;Antwort 4;Antwort 5;;;;
Welches ist in etwa die Ausbreitungsgeschwindigkeit der Signale in Glasfasern (Lichtwellenleitern)?;0.15 m/ns;0.2 m/ns*;0.25 m/ns;0.3 m/ns;;;;;
Welche Round Trip Time (RTT) entspricht am ehesten derjenigen bei Verbindungen von der Schweiz nach New York, wenn die Verbindung über ein Transatlantik-Kabel geführt ist?;5ms;20ms;80ms *;120ms;600ms;;;;
Für das Abspeichern von einer Minute Musik  im MP3-Format benötigt man etwa folgende Datenmenge: ;"5kB



";1MB *;10MB ;700MB;;;;;
Wie viele verschiedene Kombinationen von Nullen und Einsen lassen sich mit einer Folge von 8 Bit bilden?;64;128;256*;512;1024;;;;
"Welcher Dezimalwert entspricht der HEX-Zahl ""5A""?";10;27;266;90*;;;;;
"Welcher Dezimalwert entspricht der Binär-Zahl ""1001"", wenn das Least Significant Bit  (LSB) rechts ist?";3;5;9*;11;13;;;;
Bei welcher Kommunikationsart können beide Teilnehmer gleichzeitig senden und empfangen?;Simplex;Half-Duplex;Full-Duplex *;Broadcast;Multicast;;;;
Wenn man von Datenraten spricht, so meint man mit einem kb/s ...;125 Bytes/s *;1'024 Bytes/s ;8'192 Bit/s ;1'000 Bit/s *;;;;;
Welcher Kabeltyp ist in der Schweiz noch am meisten verbreitet für den Anschluss von Einfamilienhäusern ans Telefonnetz?;Twisted-Pair Kabel *;Koaxial Kabel;Glasfaser Kabel;;;;;;
In welchen Frequenzbereichen arbeiten WLANs?;800MHz;2.4GHz *;5GHz *;10GHz;;;;;
Welche maximale Datenrate ist bei einem Kanal mit 3000Hz Bandbreite möglich?;1.5 kBit/s;3 kBit/s;6 kbit/s;kann man nicht sagen, hängt auch vom Signal-zu-Geräusch-Verhältnis ab. *;;;;;
Auf einer einzigen Glasfaser ... ;können gleichzeitig Signale mit verschiedenen Lichtwellenlängen übertragen werden.  *;können nur Signale in eine Richtung übertragen werden. ;können zeitmultiplexierte Signale übertragen werden. *;können raummultiplexierte Signale übertragen werden. ;;;;;
Erbium Doped Fiber Amplifier (EDFA)  …;… führen 0/1-Detektionen durch;… können Signale verschiedener Wellenlängen gleichzeitig verstärken *;… arbeiten im 1550nm-Wellenlängenbereich *;… benötigen keine Stromversorgung ;;;;;
In welcher physikalischen Topologieform ist das Kabelfernsehnetz aufgebaut?;Baum *;Stern;Ring;Bus;;;;;
Wie werden auf den Koaxialkabel-Kabelfernsehnetzen die Fernsehdienste von den Datendiensten getrennt?;Mittels FDM *;Mittels TDM;Mittels WDM;Mittels SDM;;;;;
Wie sollen die Informationen nennen, welche man auf dem Transportlayer austauscht?;Messages;Segments *;Datagrams;Frames;Bits;;;;
Wie sollen die Informationen nennen, welche man auf dem Networklayer austauscht?;Messages;Segments;Datagrams *;Frames;Bits;;;;
Wie sollen die Informationen nennen, welche man auf dem Datalink Layer austauscht?;Messages;Segments;Datagrams;Frames *;Bits;;;;
Verbindungselemente, welche bis zur Netzwerkschicht arbeiten, nennt man …;Layer 3 Switch *;Hub;Switch;Router *;Gateway ;;;;
Verbindungselemente, welche bis zur Datalinkschicht arbeiten, nennt man …;Repeater;Hub;Switch *;Router;Bridge *;;;;
Im Normalmode nimmt meine Ethernet-Adapterkarte alle Frames entgegen, welche ...;meine eigene MAC-Adresse enthalten *;eine Broadcast MAC-Adresse enthalten *;welche irgend eine MAC-Adresse enthalten ;welche eine beliebige MAC-Gruppenadresse enthalten*;;;;;
Welche Protokolle sind der Transportschicht zuzuordnen?;IP;TCP*;UDP*;HTTP;FTP;;;;
Welche Protokolle sind der Anwendungsschicht zuzuordnen?;IP;TCP;UDP;HTTP*;FTP*;;;;
Falls ein Ethernet-Adapter einen CRC-Fehler detektiert …;so wird das Frame verworfen. *;so fordert Ethernet das Frame nochmals an.;so wird der Fehler korrigiert, falls nicht zu viele Bitfehler vorlagen.;so wird dieser durch die Funktionen der höheren Layer korrigiert. ;;;;;
Die Ethernet Maximum Transmission Unit (MTU) beträgt:;18 Bytes;64 Bytes;1500 Bytes *;1518 Bytes;;;;;
Die kürzest mögliche Länge eines Ethernet Frames ist …;0 Bytes;18 Bytes;46 Bytes;64 Bytes *;;;;;
Eine global administrierte Medium Access Control (MAC) Adresse …;ist 48 Bit lang. *;sollte weltweit eindeutig sein. *;kann nicht verändert werden. ;kann einem bestimmten Hersteller zugeordnet werden. *;;;;;
Der Organizationally Unique Identifier (OUI) Teil der MAC-Adresse …;ist 3 Bytes lang. *;wird vom IEEE vergeben. *;kann nicht verändert werden. ;ist 6 Bytes lang. ;;;;;
In welcher internationalen Standardisierungsorganisation wird die Vergabe von Sendefrequenzen entschieden?;ISO;IEC;IEEE;ITU *;;;;;
Von welchen internationalen Standardisierungsorganisationen gibt es Ethernet Standards?;ISO *;IEC;IEEE *;ITU ;;;;;
Anhand von welchen Feldern eines Frames leiten Switches die Frames weiter?;Source MAC-Adresse;Destination MAC-Adresse *;Source IP-Adresse;Destination IP-Adresse;;;;;
Anhand von welchen Feldern eines Pakets leiten Switches die Frames weiter?;Source MAC-Adresse;Destination MAC-Adresse *;Source IP-Adresse;Destination IP-Adresse;;;;;
Mit welcher Forwarding Technik vermitteln Switches Frames zwischen Ports mit unterschiedlicher Datenrate?;Early-Cut;Cut-Through;Fast-Forward;Store-and-Forward *;;;;;
Unter welchen Bedingungen leiten Switches Frames an alle Ports weiter (ausser an das Port, an welchem das Frame ankam)?;Wenn die Destination MAC-Adresse nicht in der Forwarding Database zu finden ist. *;Wenn die Destination MAC-Adresse FF:FF:FF:FF:FF:FF lautet. *;Wenn der CRC des empfangenen Pakets nicht stimmt.;"Wenn das Individual/Group-Bit der Destination MAC-Adresse auf ""Group"" gesetzt ist. *";Wenn die Source  MAC-Adresse nicht in der Forwarding Database zu finden ist. ;;;;
Welche Einträge sind in der Forwarding-Database zu finden?;Source MAC-Adressen der empfangenen Frames. *;Destination MAC-Adressen der empfangenen Frames. ;Identifikationsnummern von Switchports*;Datenraten ;;;;;
Welche Felder eines Frames verändert ein Switch?;Source MAC-Adresse;Destination MAC-Adresse ;Source IP-Adresse;Destination IP-Adresse;Protokoll Nummern;keines von diesr Auswahl*;;;
"Aufgrund welcher Informationen eines empfangenen Pakets fällen Router ihre Forwarding Entscheidung? 
";MAC-Destinationsadresse;IP-Sourceadresse;Portnummer;Netzwerkteil der IP-Destinationsadresse*;;;;;
"Aufgrund welcher Informationen eines empfangenen Pakets fällen Router ihre Forwarding Entscheidung? 
";MAC-Destinationsadresse;IP-Sourceadresse;Portnummer;Netzwerkteil der IP-Destinationsadresse*;;;;;
Sie führen an der HSR den Befehl ping www.nzz.ch aus. Welchen Eintrag findet man sicher in Ihrem ARP Cache? ;MAC-Adresse des Rechners, auf welchem der Server www.nzz.ch ist.;Die Broadcast MAC Adresse FF:FF:FF:FF:FF:FF;MAC-Adresse meines Rechners.;MAC-Adresse, welche zur IP meines Default Gateways gehört.*;;;;;
Welche Aussagen treffen für den Adressbereich 172.16.0.0/12 zu? ;Enthält Unassigned Numbers (non routable, local, private IP addresses) gemäss RFC 1597.*;Ist nicht ein gesamter Class Block wie bei 10.0.0.0/8 und bei 192.168.0.0/16*;Die Adresse 172.17.5.0 gehört in diesen Adressbereich. *;Die Adresse 172.31.255.255 ist eine Hostadresse in diesen Adressbereich. ;;;;;
Welche Aussagen zur Veränderung von IP-Header-Information durch Router treffen zu?;Time-to-live (TTL) Wert wird um die “angebrochenen Sekundenwerte” reduziert*;Die IP Source Adresse wird angepasst. ;Die IP Destination Adresse wird angepasst. ;Die IP Header Checksum wird angepasst.*;;;;;
Wieso macht es Sinn, die ARP Cache Einträge “altern” bzw. nach einigen Minuten löschen zu lassen? ;Der Cache könnte ohne Alterung zu gross werden bzw. keinen Platz mehr haben.*;Die MAC-Adresse, welche zur IP eines bestimmten Rechners gehört, kann sich ändern (z.B. wegen Austausch einer defekten Netzwerk Karte).*;Die IP-Adresse kann sich ändern.;Um MAC-Adressen zu sparen.;;;;;
Woran erkennt man eine  Class B IP-Adresse? ;Erstes Byte beginnt mit “10” (höchstwertige Bits).*;Die erste Zahl der “Dotted Decimal” Darstellung liegt zwischen 128 und 191.*;Daran dass die Netzmaske 255.255.0.0 lautet. *;Daran, dass die Adresse immer mit 152 beginnt.;;;;;
Wie gross ist der maximale Nuztlast von einem  IP-Datagram? ;2^16 Bytes;2^16 - 20 Bytes*;1480 Bytes;Grösse ist nicht beschränkt;;;;;
"Welche WLAN-Geräte versenden ""Probe Requests""?";Access Points;Stationen *;;;;;;;
Welche Interferenzquellen gibt es im 2.4 GHz Band?;Bluetooth *;Radar;Mikrowellenherd *;;;;;;
Welche Bedingungen müssen erfüllt sein, damit Reflexionen für höheren Durchsatz genützt werden können?;Der Sender muss mehr als eine Sendeantenne haben. *;Es muss mindestens zwei reflektierende Objekte zwischen Sender und Empfänger haben.;Sender und Emfpänger dürfen nicht im selben Raum stehen.;Der Empfänger muss mehr als eine Empfangsantenne haben. *;;;;;
Können bei WLAN   gleichzeitig Daten vom Accesspoint  zur Station und von  der Station zum Accesspoint übertragen werden?;ja ;nein *;;;;;;;
Welche Vorteile haben WLAN-Systeme im 2.4GHz-Bereich gegenüber Systemen im 5GHz-Bereich?;Die Signale werden typischweise durch Wände weniger stark gedämpft. *;Man wird automatisch auf freie Kanäle geschaltet. ;Es können bei gleichem Sendepegel grössere Distanzen überbrückt werden.  *;Auch ältere WLAN-Geräte können diese Signale empfangen. *;;;;;
Welche Vorteile haben WLAN-Systeme im 5GHz-Bereich gegenüber Systemen im 2.4GHz-Bereich?;Die Signale werden typischweise durch Wände weniger stark gedämpft.;Man wird automatisch auf freie Kanäle geschaltet.  *;Es können bei gleichem Sendepegel grössere Distanzen überbrückt werden. ;Auch ältere WLAN-Geräte können diese Signale empfangen.;;;;;
